State,Cases,Deaths,Never,Always
Alabama,18744.377999505235,278.9281767955801,0.08156716417910448,0.4753134328358209
Alaska,9390.588287292818,45.95182320441989,0.055920000000000004,0.45308
Arizona,129787.63057090239,1902.428729281768,0.049666666666666665,0.6549999999999999
Arkansas,10415.918453038674,144.03580110497236,0.09092,0.4628666666666667
California,152867.65412459517,1499.321299295104,0.032310344827586206,0.7146379310344828
Colorado,20906.65020718232,188.9261049723757,0.039156250000000004,0.5474375
Connecticut,91872.56906077349,1317.5738950276243,0.017499999999999998,0.7795000000000002
Delaware,85454.29834254144,924.7034990791897,0.019333333333333334,0.8176666666666667
Florida,85772.39391440587,1053.412797889008,0.05525373134328358,0.5825522388059702
Georgia,14885.815907432503,218.2648458945759,0.08333333333333333,0.512314465408805
Hawaii,46746.79226519337,266.2817679558011,0.016200000000000003,0.8150000000000001
Idaho,9625.310396785535,108.03327473631342,0.10377272727272727,0.38684090909090907
Illinois,29993.39481096306,339.46197595060124,0.07227450980392158,0.5100784313725489
Indiana,18054.80308671631,247.37148690847945,0.08609782608695653,0.45021739130434785
Iowa,7484.913443830571,92.64825046040515,0.10432323232323233,0.3962020202020202
Kansas,7147.666350960274,78.30165745856354,0.11688571428571429,0.39559047619047627
Kentucky,10598.391114180478,121.52605893186004,0.08633333333333335,0.4914
Louisiana,18739.883114640885,261.1401933701657,0.082328125,0.5236562499999999
Maine,14117.781422651933,132.1543508287293,0.0475,0.592375
Maryland,42035.730893186,582.6325966850828,0.02291666666666666,0.74275
Massachusetts,111608.49408050513,1507.593133385951,0.0195,0.7972857142857144
Michigan,28225.71497037875,417.2420288890368,0.04479518072289157,0.5748072289156626
Minnesota,16095.302851336763,139.5808090429923,0.10319540229885057,0.37552873563218386
Mississippi,9387.361002560301,146.10989085028973,0.06781707317073171,0.5268780487804878
Missouri,11079.092193129954,156.50819120826327,0.1340608695652174,0.37655652173913046
Montana,4693.276539068666,57.6293409629045,0.15085714285714286,0.31753571428571425
Nebraska,4924.042357274401,38.6017346878156,0.12380645161290323,0.3514516129032258
Nevada,40448.87130321742,589.9766005849854,0.029294117647058825,0.6286470588235294
New Hampshire,29095.127071823204,237.69944751381215,0.05510000000000001,0.6263000000000001
New Jersey,105114.95553801631,1559.0484083136016,0.02290476190476191,0.7484285714285714
New Mexico,15262.013895864724,216.5437803448853,0.042181818181818174,0.6699999999999999
New York,47189.03654163032,472.61791218377437,0.02215789473684211,0.771578947368421
North Carolina,25571.935801104974,229.44795580110497,0.05378,0.60331
North Dakota,4401.762013968519,41.28124674241634,0.1809811320754717,0.2572452830188679
Ohio,30016.818370165747,415.0419387242592,0.09145454545454546,0.4388522727272728
Oklahoma,12872.051302288872,175.1808854129296,0.10036363636363636,0.38610389610389606
Oregon,19163.593462246776,193.76243093922653,0.03666666666666667,0.6404166666666666
Pennsylvania,41106.27277974767,645.8676506967922,0.03583582089552239,0.6719701492537313
Rhode Island,65562.0685082873,685.4906077348066,0.012200000000000003,0.802
South Carolina,30965.703218832572,369.9013932260389,0.0971304347826087,0.5328260869565217
South Dakota,3514.011049723757,42.703833919303534,0.14831818181818182,0.3609393939393939
Tennessee,19836.444315207907,255.16632742076186,0.1100421052631579,0.4271894736842105
Texas,25610.656349240875,336.0318440857876,0.05188976377952756,0.6025590551181103
Utah,31096.149552295676,153.06744141741285,0.09306896551724136,0.4197586206896552
Vermont,7919.630228887135,43.00591949486977,0.04535714285714286,0.6599999999999999
Virginia,12369.324055996345,142.35109874132846,0.04187218045112782,0.637827067669173
Washington,36521.876753081175,310.865561694291,0.037897435897435904,0.6698717948717948
West Virginia,8748.08126569563,117.95409342039176,0.08607272727272726,0.4824181818181818
Wisconsin,21763.696439533454,190.07918968692448,0.08683333333333335,0.43349999999999994
Wyoming,6609.7474771744355,75.96107640557425,0.15161100432484378,0.33642575684766945
