State,Cases,Deaths
Alabama,417491447.0,5985924.0
Alaska,81093648.0,377485.0
Arizona,640759695.0,9175601.0
Arkansas,265489813.0,3501030.0
California,3021262403.0,27988832.0
Colorado,452765912.0,3911659.0
Connecticut,246583112.0,3360278.0
Delaware,85506893.0,897742.0
Florida,1945740662.0,23137395.0
Georgia,785308257.0,11206967.0
Hawaii,84998146.0,452573.0
Idaho,139535526.0,1520059.0
Illinois,1027806705.0,11718760.0
Indiana,543074287.0,7272747.0
Iowa,242649619.0,2942695.0
Kansas,246558704.0,2678789.0
Kentucky,428783163.0,4795795.0
Louisiana,399964519.0,5326589.0
Maine,77497710.0,710014.0
Maryland,339671505.0,4507866.0
Massachusetts,567060339.0,6594251.0
Michigan,782670391.0,11191573.0
Minnesota,464328957.0,3978308.0
Mississippi,255854009.0,3819107.0
Missouri,462565856.0,6281441.0
Montana,86766739.0,1036385.0
Nebraska,151507195.0,1303509.0
Nevada,232576680.0,3284205.0
New Hampshire,98270659.0,777225.0
New Jersey,744836128.0,10380986.0
New Mexico,169324382.0,2376667.0
New York,1675974304.0,21121343.0
North Carolina,862191984.0,7526305.0
North Dakota,76246642.0,716509.0
Ohio,871411757.0,11707109.0
Oklahoma,330867730.0,4340704.0
Oregon,237593055.0,2340002.0
Pennsylvania,908464578.0,13864752.0
Rhode Island,119028178.0,1094992.0
South Carolina,471940064.0,5439629.0
South Dakota,75035761.0,896602.0
Tennessee,632289928.0,7958423.0
Texas,2166959747.0,27098977.0
Utah,296064207.0,1458748.0
Vermont,39020336.0,201299.0
Virginia,559143141.0,6194444.0
Washington,486951347.0,4006685.0
West Virginia,161794800.0,2115522.0
Wisconsin,519229463.0,4426638.0
Wyoming,49915763.0,558352.0
